age,income,employment_status,loan_amount,debt,savings,credit_history,payment_history,existing_loans,loan_duration_months,debt_to_income_ratio,loan_to_income_ratio,creditworthy,credit_status
36,6820.8,1 to 4 years,3915.0,203.0,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,27,0.3571,0.574,0,Bad Credit
29,26181.36,4 to 7 years,2108.0,421.6,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.1932,0.0805,1,Good Credit
21,3168.41,1 to 4 years,3031.0,94.3,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,45,0.3572,0.9566,0,Bad Credit
34,28098.72,7 or more years,1501.0,400.27,less than 100 DM,critical account or other credits existing,critical account history,2,9,0.1709,0.0534,0,Bad Credit
28,36484.8,1 to 4 years,1382.0,506.73,less than 100 DM,critical account or other credits existing,critical account history,2,6,0.1667,0.0379,1,Good Credit
27,13420.51,less than 1 year,951.0,443.8,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,4,12,0.3968,0.0709,0,Bad Credit
36,7032.48,7 or more years,2760.0,161.0,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,24,0.2747,0.3925,1,Good Credit
40,14598.34,7 or more years,4297.0,334.21,less than 100 DM,delay in paying off in the past,past payment delay,1,18,0.2747,0.2943,0,Bad Credit
52,12719.62,7 or more years,936.0,291.2,500 to 1000 DM,critical account or other credits existing,critical account history,2,9,0.2747,0.0736,1,Good Credit
27,4578.56,1 to 4 years,1168.0,136.27,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3572,0.2551,1,Good Credit
26,23799.74,4 to 7 years,5117.0,492.75,less than 100 DM,delay in paying off in the past,past payment delay,2,27,0.2484,0.215,1,Good Credit
21,4066.22,4 to 7 years,902.0,105.23,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3105,0.2218,0,Bad Credit
38,15237.04,7 or more years,1495.0,348.83,less than 100 DM,critical account or other credits existing,critical account history,2,12,0.2747,0.0981,1,Good Credit
38,75402.05,7 or more years,10623.0,1380.99,less than 100 DM,critical account or other credits existing,critical account history,3,30,0.2198,0.1409,1,Good Credit
43,29582.28,7 or more years,1935.0,677.25,less than 100 DM,critical account or other credits existing,critical account history,3,12,0.2747,0.0654,1,Good Credit
26,6419.39,4 to 7 years,1424.0,166.13,less than 100 DM,critical account or other credits existing,critical account history,1,12,0.3106,0.2218,1,Good Credit
21,17733.6,1 to 4 years,6568.0,328.4,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2222,0.3704,1,Good Credit
55,7393.52,4 to 7 years,1413.0,153.08,1000 DM or more,existing credits paid back duly till now,paid current credits on time,1,12,0.2485,0.1911,1,Good Credit
33,54102.4,1 to 4 years,3074.0,751.42,unknown or no savings account,critical account or other credits existing,critical account history,2,9,0.1667,0.0568,1,Good Credit
45,8973.9,7 or more years,3835.0,127.83,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,36,0.1709,0.4274,1,Good Credit
50,19054.8,unemployed,5293.0,470.49,less than 100 DM,no credits taken or all paid back duly,no prior payment record,2,27,0.2963,0.2778,0,Bad Credit
66,3889.27,7 or more years,1908.0,89.04,less than 100 DM,delay in paying off in the past,past payment delay,1,30,0.2747,0.4906,0,Bad Credit
51,5676.94,7 or more years,3342.0,129.97,unknown or no savings account,critical account or other credits existing,critical account history,1,36,0.2747,0.5887,1,Good Credit
39,28295.52,4 to 7 years,932.0,341.73,unknown or no savings account,critical account or other credits existing,critical account history,2,6,0.1449,0.0329,1,Good Credit
31,10827.79,4 to 7 years,3104.0,224.18,less than 100 DM,no credits taken or all paid back duly,no prior payment record,1,18,0.2484,0.2867,1,Good Credit
23,7043.4,1 to 4 years,3913.0,130.43,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.2222,0.5556,1,Good Credit
24,8156.7,1 to 4 years,3021.0,151.05,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2222,0.3704,1,Good Credit
64,8838.72,1 to 4 years,1364.0,163.68,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,10,0.2222,0.1543,1,Good Credit
26,2205.0,less than 1 year,625.0,72.92,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3968,0.2834,1,Good Credit
23,4704.0,1 to 4 years,1200.0,140.0,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,12,0.3571,0.2551,1,Good Credit
30,5542.88,1 to 4 years,707.0,164.97,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,12,0.3572,0.1276,1,Good Credit
32,11673.76,1 to 4 years,2978.0,347.43,unknown or no savings account,delay in paying off in the past,past payment delay,2,24,0.3571,0.2551,1,Good Credit
30,16951.48,1 to 4 years,4657.0,403.61,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,15,0.2857,0.2747,1,Good Credit
27,6828.64,1 to 4 years,2613.0,203.23,less than 100 DM,no credits taken or all paid back duly,no prior payment record,2,36,0.3571,0.3827,1,Good Credit
27,41596.99,4 to 7 years,10961.0,502.38,1000 DM or more,existing credits paid back duly till now,paid current credits on time,2,48,0.1449,0.2635,0,Bad Credit
53,40080.04,7 or more years,7865.0,917.58,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2747,0.1962,0,Bad Credit
22,8883.77,4 to 7 years,1478.0,229.91,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,9,0.3106,0.1664,0,Bad Credit
22,5554.84,less than 1 year,3149.0,183.69,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3968,0.5669,1,Good Credit
26,5501.07,1 to 4 years,4210.0,163.72,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.3571,0.7653,0,Bad Credit
51,23465.52,7 or more years,2507.0,334.27,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,9,0.1709,0.1068,1,Good Credit
35,11202.78,4 to 7 years,2141.0,231.94,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2484,0.1911,1,Good Credit
25,2263.15,1 to 4 years,866.0,67.36,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.3572,0.3827,1,Good Credit
42,86294.16,4 to 7 years,1544.0,1389.6,less than 100 DM,critical account or other credits existing,critical account history,3,4,0.1932,0.0179,1,Good Credit
30,2679.81,unemployed,1823.0,106.34,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.4762,0.6803,0,Bad Credit
23,144094.5,unemployed,14555.0,2668.42,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,6,0.2222,0.101,0,Bad Credit
61,16115.01,7 or more years,2767.0,368.93,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,2,21,0.2747,0.1717,0,Bad Credit
35,10121.44,1 to 4 years,1291.0,301.23,less than 100 DM,critical account or other credits existing,critical account history,2,12,0.3571,0.1276,1,Good Credit
39,8655.5,7 or more years,2522.0,92.47,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,30,0.1282,0.2914,1,Good Credit
29,2331.42,7 or more years,915.0,53.38,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,24,0.2748,0.3925,0,Bad Credit
51,16691.67,4 to 7 years,1595.0,345.58,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.2484,0.0956,1,Good Credit
24,13619.29,7 or more years,4605.0,249.44,less than 100 DM,no credits taken or all paid back duly,no prior payment record,2,48,0.2198,0.3381,0,Bad Credit
27,10783.5,1 to 4 years,1185.0,256.75,less than 100 DM,critical account or other credits existing,critical account history,2,12,0.2857,0.1099,1,Good Credit
35,13512.24,1 to 4 years,3447.0,402.15,500 to 1000 DM,all credits at this bank paid back duly,paid previous credits,1,12,0.3571,0.2551,1,Good Credit
25,2835.53,4 to 7 years,1258.0,73.38,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3105,0.4437,1,Good Credit
52,10961.5,7 or more years,717.0,250.95,less than 100 DM,critical account or other credits existing,critical account history,3,12,0.2747,0.0654,1,Good Credit
35,9439.36,1 to 4 years,1204.0,280.93,100 to 500 DM,no credits taken or all paid back duly,no prior payment record,1,6,0.3571,0.1276,1,Good Credit
26,5197.5,1 to 4 years,1925.0,96.25,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2222,0.3704,1,Good Credit
22,985.08,unemployed,433.0,31.27,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.3809,0.4396,0,Bad Credit
39,13939.38,4 to 7 years,666.0,288.6,1000 DM or more,critical account or other credits existing,critical account history,2,6,0.2484,0.0478,1,Good Credit
46,14856.6,1 to 4 years,2251.0,206.34,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.1667,0.1515,1,Good Credit
24,3371.2,1 to 4 years,2150.0,100.33,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,30,0.3571,0.6378,0,Bad Credit
35,22415.4,1 to 4 years,4151.0,415.1,100 to 500 DM,delay in paying off in the past,past payment delay,2,24,0.2222,0.1852,1,Good Credit
24,16808.4,4 to 7 years,2030.0,270.67,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,9,0.1932,0.1208,1,Good Credit
27,9791.76,1 to 4 years,7418.0,136.0,unknown or no savings account,delay in paying off in the past,past payment delay,1,60,0.1667,0.7576,1,Good Credit
35,10521.28,1 to 4 years,2684.0,313.13,less than 100 DM,critical account or other credits existing,critical account history,2,24,0.3571,0.2551,1,Good Credit
29,8424.08,1 to 4 years,2149.0,250.72,less than 100 DM,all credits at this bank paid back duly,paid previous credits,1,12,0.3571,0.2551,0,Bad Credit
23,18114.62,less than 1 year,3812.0,279.55,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,15,0.1852,0.2104,1,Good Credit
57,11103.58,unemployed,1154.0,440.62,100 to 500 DM,critical account or other credits existing,critical account history,3,11,0.4762,0.1039,1,Good Credit
27,8947.8,1 to 4 years,1657.0,165.7,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2222,0.1852,1,Good Credit
55,4084.44,7 or more years,1603.0,93.51,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2747,0.3925,1,Good Credit
36,74440.08,7 or more years,5302.0,1060.4,less than 100 DM,critical account or other credits existing,critical account history,3,18,0.1709,0.0712,1,Good Credit
57,57872.88,7 or more years,2748.0,824.4,less than 100 DM,critical account or other credits existing,critical account history,3,12,0.1709,0.0475,1,Good Credit
32,17475.28,7 or more years,1231.0,320.06,less than 100 DM,critical account or other credits existing,critical account history,2,10,0.2198,0.0704,1,Good Credit
37,3269.59,7 or more years,802.0,74.85,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,15,0.2747,0.2453,0,Bad Credit
36,21416.79,7 or more years,6304.0,490.31,unknown or no savings account,critical account or other credits existing,critical account history,2,36,0.2747,0.2943,1,Good Credit
38,2704.21,less than 1 year,1533.0,89.42,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3968,0.5669,1,Good Credit
45,66026.78,7 or more years,8978.0,705.41,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,14,0.1282,0.136,0,Bad Credit
25,5090.9,7 or more years,999.0,116.55,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,2,24,0.2747,0.1962,1,Good Credit
32,8000.2,4 to 7 years,2662.0,207.04,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,18,0.3106,0.3327,1,Good Credit
37,7335.96,4 to 7 years,1402.0,151.88,500 to 1000 DM,critical account or other credits existing,critical account history,1,12,0.2484,0.1911,1,Good Credit
36,8944.22,unemployed,12169.0,354.93,unknown or no savings account,all credits at this bank paid back duly,paid previous credits,1,48,0.4762,1.3605,1,Good Credit
28,6897.24,4 to 7 years,3060.0,178.5,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,48,0.3106,0.4437,0,Bad Credit
34,28507.25,less than 1 year,11998.0,439.93,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,30,0.1852,0.4209,0,Bad Credit
32,23733.6,1 to 4 years,2697.0,329.63,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,9,0.1667,0.1136,1,Good Credit
26,17308.8,1 to 4 years,2404.0,320.53,less than 100 DM,critical account or other credits existing,critical account history,2,18,0.2222,0.1389,1,Good Credit
49,8859.24,7 or more years,1262.0,126.2,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,12,0.1709,0.1425,1,Good Credit
32,54778.68,less than 1 year,4611.0,845.35,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.1852,0.0842,0,Bad Credit
29,3725.96,1 to 4 years,1901.0,110.89,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3571,0.5102,1,Good Credit
23,31874.75,7 or more years,3368.0,583.79,1000 DM or more,critical account or other credits existing,critical account history,2,15,0.2198,0.1057,1,Good Credit
50,6170.08,1 to 4 years,1574.0,183.63,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3571,0.2551,1,Good Credit
49,4342.71,4 to 7 years,1445.0,112.39,unknown or no savings account,all credits at this bank paid back duly,paid previous credits,1,18,0.3106,0.3327,1,Good Credit
63,6196.74,7 or more years,1520.0,141.87,unknown or no savings account,critical account or other credits existing,critical account history,1,15,0.2747,0.2453,1,Good Credit
37,6840.79,less than 1 year,3878.0,226.22,100 to 500 DM,critical account or other credits existing,critical account history,1,24,0.3968,0.5669,1,Good Credit
35,16260.94,less than 1 year,10722.0,250.94,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,47,0.1852,0.6594,1,Good Credit
26,5396.08,4 to 7 years,4788.0,139.65,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,48,0.3106,0.8873,1,Good Credit
31,7676.78,unemployed,7582.0,189.55,100 to 500 DM,delay in paying off in the past,past payment delay,1,48,0.2963,0.9877,1,Good Credit
49,8561.28,1 to 4 years,1092.0,254.8,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,12,0.3571,0.1276,1,Good Credit
48,1806.34,less than 1 year,1024.0,59.73,less than 100 DM,delay in paying off in the past,past payment delay,1,24,0.3968,0.5669,0,Bad Credit
26,5810.4,1 to 4 years,1076.0,107.6,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2222,0.1852,1,Good Credit
28,18608.04,less than 1 year,9398.0,287.16,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.1852,0.5051,0,Bad Credit
44,45061.38,7 or more years,6419.0,641.9,less than 100 DM,critical account or other credits existing,critical account history,2,24,0.1709,0.1425,1,Good Credit
56,6982.98,7 or more years,4796.0,159.87,less than 100 DM,critical account or other credits existing,critical account history,1,42,0.2747,0.6868,1,Good Credit
46,19438.69,7 or more years,7629.0,445.02,unknown or no savings account,critical account or other credits existing,critical account history,2,48,0.2747,0.3925,1,Good Credit
26,14790.6,less than 1 year,9960.0,228.25,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,48,0.1852,0.6734,0,Bad Credit
20,27769.5,less than 1 year,4675.0,428.54,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,12,0.1852,0.1684,1,Good Credit
45,7870.26,7 or more years,1287.0,180.18,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,10,0.2747,0.1635,1,Good Credit
43,7628.83,1 to 4 years,2515.0,181.64,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.2857,0.3297,1,Good Credit
32,16415.1,4 to 7 years,2745.0,339.86,1000 DM or more,critical account or other credits existing,critical account history,2,21,0.2484,0.1672,1,Good Credit
54,6652.8,unemployed,672.0,123.2,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.2222,0.101,1,Good Credit
42,4970.56,1 to 4 years,3804.0,147.93,less than 100 DM,no credits taken or all paid back duly,no prior payment record,1,36,0.3571,0.7653,0,Bad Credit
37,6058.75,4 to 7 years,1344.0,156.8,unknown or no savings account,critical account or other credits existing,critical account history,2,24,0.3106,0.2218,0,Bad Credit
49,11230.33,4 to 7 years,1038.0,290.64,less than 100 DM,critical account or other credits existing,critical account history,2,10,0.3106,0.0924,1,Good Credit
44,13671.45,1 to 4 years,10127.0,253.18,500 to 1000 DM,critical account or other credits existing,critical account history,1,48,0.2222,0.7407,0,Bad Credit
33,12097.12,1 to 4 years,1543.0,360.03,1000 DM or more,existing credits paid back duly till now,paid current credits on time,1,6,0.3571,0.1276,1,Good Credit
24,11950.52,4 to 7 years,4811.0,192.44,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,30,0.1932,0.4026,1,Good Credit
33,2564.86,less than 1 year,727.0,84.82,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3968,0.2834,0,Bad Credit
24,8442.53,1 to 4 years,1237.0,201.01,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,8,0.2857,0.1465,0,Bad Credit
22,1442.56,1 to 4 years,276.0,42.93,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,9,0.3571,0.1913,1,Good Credit
40,4590.67,unemployed,5381.0,145.74,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,48,0.381,1.1722,1,Good Credit
25,10801.56,1 to 4 years,5511.0,321.47,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3571,0.5102,1,Good Credit
26,9110.07,less than 1 year,3749.0,187.45,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2469,0.4115,1,Good Credit
25,4253.85,4 to 7 years,685.0,68.5,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.1932,0.161,0,Bad Credit
29,26623.08,less than 1 year,1494.0,410.85,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,4,0.1852,0.0561,1,Good Credit
31,4664.54,7 or more years,2746.0,106.79,less than 100 DM,all credits at this bank paid back duly,paid previous credits,1,36,0.2747,0.5887,0,Bad Credit
38,3823.2,1 to 4 years,708.0,70.8,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2222,0.1852,1,Good Credit
48,14358.3,1 to 4 years,4351.0,199.42,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,24,0.1667,0.303,1,Good Credit
32,5495.84,1 to 4 years,701.0,163.57,less than 100 DM,critical account or other credits existing,critical account history,2,12,0.3572,0.1276,1,Good Credit
27,50011.1,7 or more years,3643.0,534.31,less than 100 DM,delay in paying off in the past,past payment delay,2,15,0.1282,0.0728,1,Good Credit
28,9993.65,unemployed,4249.0,396.57,less than 100 DM,critical account or other credits existing,critical account history,2,30,0.4762,0.4252,0,Bad Credit
32,3418.63,less than 1 year,1938.0,113.05,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3968,0.5669,0,Bad Credit
34,9035.55,4 to 7 years,2910.0,145.5,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.1932,0.3221,1,Good Credit
28,6948.85,1 to 4 years,2659.0,206.81,1000 DM or more,existing credits paid back duly till now,paid current credits on time,1,18,0.3571,0.3827,1,Good Credit
36,5373.01,1 to 4 years,1028.0,159.91,less than 100 DM,critical account or other credits existing,critical account history,2,18,0.3571,0.1913,1,Good Credit
39,77372.46,4 to 7 years,3398.0,934.45,less than 100 DM,critical account or other credits existing,critical account history,2,8,0.1449,0.0439,1,Good Credit
49,40723.02,7 or more years,5801.0,580.1,unknown or no savings account,critical account or other credits existing,critical account history,1,12,0.1709,0.1425,1,Good Credit
34,3437.35,4 to 7 years,1525.0,88.96,1000 DM or more,existing credits paid back duly till now,paid current credits on time,1,24,0.3106,0.4437,1,Good Credit
31,7598.14,7 or more years,4473.0,173.95,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.2747,0.5887,1,Good Credit
28,10885.06,7 or more years,1068.0,249.2,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.2747,0.0981,1,Good Credit
75,26790.75,unemployed,6615.0,661.5,less than 100 DM,critical account or other credits existing,critical account history,2,24,0.2963,0.2469,1,Good Credit
30,9742.51,1 to 4 years,1864.0,289.96,100 to 500 DM,critical account or other credits existing,critical account history,2,18,0.3571,0.1913,0,Bad Credit
24,5227.08,less than 1 year,7408.0,172.85,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,60,0.3968,1.4172,0,Bad Credit
24,31293.0,1 to 4 years,11590.0,579.5,100 to 500 DM,critical account or other credits existing,critical account history,2,48,0.2222,0.3704,0,Bad Credit
23,24310.65,7 or more years,4110.0,445.25,less than 100 DM,no credits taken or all paid back duly,no prior payment record,2,24,0.2198,0.1691,0,Bad Credit
44,44668.8,1 to 4 years,3384.0,620.4,less than 100 DM,critical account or other credits existing,critical account history,1,6,0.1667,0.0758,0,Bad Credit
23,9425.41,less than 1 year,2101.0,193.94,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,13,0.2469,0.2229,1,Good Credit
24,3998.4,1 to 4 years,1275.0,119.0,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,15,0.3571,0.3189,0,Bad Credit
28,8171.24,1 to 4 years,4169.0,243.19,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3571,0.5102,1,Good Credit
31,7154.78,1 to 4 years,1521.0,212.94,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,10,0.3571,0.2126,1,Good Credit
24,27910.98,less than 1 year,5743.0,574.3,less than 100 DM,critical account or other credits existing,critical account history,2,24,0.2469,0.2058,1,Good Credit
26,15609.38,4 to 7 years,3599.0,188.52,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,21,0.1449,0.2306,1,Good Credit
25,12723.48,less than 1 year,3213.0,196.35,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.1852,0.2525,1,Good Credit
33,25391.08,7 or more years,4439.0,271.27,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.1282,0.1748,1,Good Credit
37,28148.47,less than 1 year,3949.0,434.39,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,10,0.1852,0.1403,1,Good Credit
43,4575.42,1 to 4 years,1459.0,136.17,less than 100 DM,critical account or other credits existing,critical account history,1,15,0.3571,0.3189,1,Good Credit
23,5744.67,less than 1 year,882.0,189.97,less than 100 DM,critical account or other credits existing,critical account history,2,13,0.3968,0.1535,1,Good Credit
23,9301.05,unemployed,3758.0,172.24,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2222,0.404,1,Good Credit
34,46015.2,1 to 4 years,1743.0,639.1,100 to 500 DM,delay in paying off in the past,past payment delay,2,6,0.1667,0.0379,1,Good Credit
32,15437.48,7 or more years,1136.0,353.42,1000 DM or more,critical account or other credits existing,critical account history,2,9,0.2747,0.0736,0,Bad Credit
23,9789.12,less than 1 year,1236.0,151.07,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,9,0.1852,0.1263,1,Good Credit
29,8439.2,1 to 4 years,959.0,117.21,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,9,0.1667,0.1136,0,Bad Credit
38,8718.3,unemployed,3229.0,215.27,unknown or no savings account,critical account or other credits existing,critical account history,1,18,0.2963,0.3704,1,Good Credit
28,48600.16,1 to 4 years,6199.0,1446.43,less than 100 DM,no credits taken or all paid back duly,no prior payment record,2,12,0.3571,0.1276,0,Bad Credit
46,4445.75,7 or more years,727.0,101.78,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,10,0.2747,0.1635,1,Good Credit
23,2197.94,less than 1 year,1246.0,72.68,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3968,0.5669,0,Bad Credit
49,19999.98,7 or more years,2331.0,213.68,unknown or no savings account,critical account or other credits existing,critical account history,1,12,0.1282,0.1166,1,Good Credit
26,11663.31,1 to 4 years,4463.0,347.12,less than 100 DM,delay in paying off in the past,past payment delay,2,36,0.3571,0.3827,0,Bad Credit
28,3041.92,1 to 4 years,776.0,90.53,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3571,0.2551,1,Good Credit
23,4338.5,4 to 7 years,2406.0,112.28,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,30,0.3106,0.5546,0,Bad Credit
61,3237.92,1 to 4 years,1239.0,96.37,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,18,0.3572,0.3827,1,Good Credit
37,23860.98,7 or more years,3399.0,339.9,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,12,0.1709,0.1425,1,Good Credit
36,24267.6,1 to 4 years,2247.0,449.4,less than 100 DM,delay in paying off in the past,past payment delay,2,12,0.2222,0.0926,1,Good Credit
21,23311.2,1 to 4 years,1766.0,323.77,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.1667,0.0758,1,Good Credit
25,4847.08,unemployed,2473.0,192.34,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.4762,0.5102,0,Bad Credit
36,9575.82,4 to 7 years,1542.0,154.2,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.1932,0.161,1,Good Credit
27,26860.17,4 to 7 years,3850.0,556.11,less than 100 DM,critical account or other credits existing,critical account history,2,18,0.2484,0.1433,1,Good Credit
22,14454.0,less than 1 year,3650.0,223.06,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.1852,0.2525,1,Good Credit
42,5853.61,7 or more years,3446.0,134.01,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.2747,0.5887,0,Bad Credit
40,12424.14,4 to 7 years,3001.0,200.07,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.1932,0.2415,1,Good Credit
36,4023.23,1 to 4 years,3079.0,119.74,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,36,0.3571,0.7653,1,Good Credit
33,47872.07,7 or more years,6070.0,876.78,less than 100 DM,critical account or other credits existing,critical account history,2,18,0.2198,0.1268,1,Good Credit
23,30593.38,less than 1 year,2146.0,472.12,less than 100 DM,critical account or other credits existing,critical account history,2,10,0.1852,0.0701,1,Good Credit
63,19313.42,7 or more years,13756.0,275.12,unknown or no savings account,critical account or other credits existing,critical account history,1,60,0.1709,0.7123,1,Good Credit
60,34974.21,7 or more years,14782.0,640.55,100 to 500 DM,all credits at this bank paid back duly,paid previous credits,2,60,0.2198,0.4227,0,Bad Credit
37,11930.96,4 to 7 years,7685.0,192.12,less than 100 DM,all credits at this bank paid back duly,paid previous credits,1,48,0.1932,0.6441,0,Bad Credit
34,12528.0,unemployed,2320.0,309.33,less than 100 DM,delay in paying off in the past,past payment delay,2,18,0.2963,0.1852,1,Good Credit
36,8578.44,7 or more years,846.0,157.11,unknown or no savings account,delay in paying off in the past,past payment delay,1,7,0.2198,0.0986,1,Good Credit
57,24321.51,7 or more years,14318.0,556.81,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.2747,0.5887,0,Bad Credit
52,5676.16,1 to 4 years,362.0,168.93,100 to 500 DM,critical account or other credits existing,critical account history,2,6,0.3571,0.0638,1,Good Credit
39,5983.02,4 to 7 years,2212.0,154.84,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,20,0.3106,0.3697,1,Good Credit
38,29520.4,unemployed,12976.0,937.16,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.381,0.4396,0,Bad Credit
25,3154.78,4 to 7 years,1283.0,81.65,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,22,0.3106,0.4067,1,Good Credit
26,4692.24,less than 1 year,1330.0,155.17,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3968,0.2834,1,Good Credit
26,18455.04,1 to 4 years,4272.0,341.76,100 to 500 DM,delay in paying off in the past,past payment delay,2,30,0.2222,0.2315,1,Good Credit
